Category,Value,Subcategory
C,63,X
D,18,X
A,90,Y
C,44,Y
C,34,Y
D,74,Z
A,62,Y
A,14,Z
C,95,X
B,48,Z
C,15,Y
C,72,X
C,78,X
C,87,X
D,62,Z
A,40,Y
D,85,X
D,80,X
D,82,X
C,53,Z
B,24,Z
A,26,Y
B,89,Z
D,60,X
D,41,Y
B,29,X
B,15,X
B,45,Z
D,65,Y
D,89,Z
A,71,Z
A,9,Y
D,88,X
B,1,X
B,8,Y
A,88,X
D,63,Y
A,11,Y
A,81,Z
C,8,Y
C,35,Z
C,35,X
B,33,X
D,5,X
D,41,X
D,28,Z
D,7,X
C,73,Y
B,72,Y
B,12,Y
C,34,Z
B,33,X
C,48,X
D,23,X
C,62,Z
D,88,Y
D,37,Y
A,99,X
C,44,Y
A,86,Y
C,91,Z
C,35,Z
A,65,Z
A,99,Z
C,47,X
B,78,Z
D,3,Y
A,1,X
D,5,Y
B,90,Y
B,14,Y
B,27,Z
A,9,Z
B,79,X
A,15,X
B,90,Z
D,42,Y
D,77,X
C,51,Z
D,63,Z
C,96,Z
D,52,Y
A,96,Z
D,4,Z
C,94,Z
C,23,Z
B,15,X
A,43,X
D,29,Z
B,36,Y
D,13,X
D,32,Z
B,71,X
B,59,X
B,86,Y
B,28,Z
B,66,Z
D,42,Y
B,45,Y
A,62,Z
