Date,Close
2023-01-02,95.5
2023-01-03,95.36
2023-01-04,96.01
2023-01-05,97.53
2023-01-06,97.3
2023-01-09,97.06
2023-01-10,98.64
2023-01-11,99.41
2023-01-12,98.94
2023-01-13,99.48
2023-01-16,99.02
2023-01-17,98.55
2023-01-18,98.79
2023-01-19,96.88
2023-01-20,95.16
2023-01-23,94.59
2023-01-24,93.58
2023-01-25,93.89
2023-01-26,92.99
2023-01-27,91.57
2023-01-30,93.04
2023-01-31,92.81
2023-02-01,92.88
2023-02-02,91.46
2023-02-03,90.91
2023-02-06,91.02
2023-02-07,89.87
2023-02-08,90.25
2023-02-09,89.65
2023-02-10,89.36
2023-02-13,88.75
2023-02-14,90.61
2023-02-15,90.59
2023-02-16,89.53
2023-02-17,90.36
2023-02-20,89.14
2023-02-21,89.35
2023-02-22,87.39
2023-02-23,86.06
2023-02-24,86.25
2023-02-27,86.99
2023-02-28,87.16
2023-03-01,87.05
2023-03-02,86.75
2023-03-03,85.27
2023-03-06,84.55
2023-03-07,84.09
2023-03-08,85.15
2023-03-09,85.49
2023-03-10,83.73
2023-03-13,84.05
2023-03-14,83.67
2023-03-15,82.99
2023-03-16,83.6
2023-03-17,84.63
2023-03-20,85.56
2023-03-21,84.72
2023-03-22,84.41
2023-03-23,84.75
2023-03-24,85.72
2023-03-27,85.24
2023-03-28,85.06
2023-03-29,83.95
2023-03-30,82.75
2023-03-31,83.57
2023-04-03,84.92
2023-04-04,84.85
2023-04-05,85.85
2023-04-06,86.22
2023-04-07,85.57
2023-04-10,85.93
2023-04-11,87.47
2023-04-12,87.43
2023-04-13,89.0
2023-04-14,86.38
2023-04-17,87.2
2023-04-18,87.29
2023-04-19,86.99
2023-04-20,87.08
2023-04-21,85.09
2023-04-24,84.87
2023-04-25,85.23
2023-04-26,86.71
2023-04-27,86.19
2023-04-28,85.38
2023-05-01,84.88
2023-05-02,85.8
2023-05-03,86.12
2023-05-04,85.59
2023-05-05,86.11
2023-05-08,86.2
2023-05-09,87.17
2023-05-10,86.47
2023-05-11,86.14
2023-05-12,85.75
2023-05-15,84.29
2023-05-16,84.58
2023-05-17,84.84
2023-05-18,84.85
2023-05-19,84.62
2023-05-22,83.2
2023-05-23,82.78
2023-05-24,82.44
2023-05-25,81.63
2023-05-26,81.47
2023-05-29,81.88
2023-05-30,83.76
2023-05-31,83.94
2023-06-01,84.2
2023-06-02,84.12
2023-06-05,82.2
2023-06-06,82.18
2023-06-07,82.24
2023-06-08,84.7
2023-06-09,84.51
2023-06-12,84.81
2023-06-13,84.77
2023-06-14,83.6
2023-06-15,84.75
2023-06-16,85.5
2023-06-19,86.29
2023-06-20,85.38
2023-06-21,86.78
2023-06-22,85.38
2023-06-23,85.97
2023-06-26,88.16
2023-06-27,87.17
2023-06-28,86.6
2023-06-29,86.7
2023-06-30,86.2
2023-07-03,84.65
2023-07-04,84.72
2023-07-05,83.65
