날짜,노선번호,역/정류장명,승차인원,하차인원,교통수단
20230901,100번(하계동~용산구청),,153.0,197.0,버스
20230901,100번(하계동~용산구청),,197.0,141.0,버스
20230901,100번(하계동~용산구청),,263.0,93.0,버스
20230901,100번(하계동~용산구청),,16.0,21.0,버스
20230901,100번(하계동~용산구청),,104.0,355.0,버스
20230901,100번(하계동~용산구청),,125.0,88.0,버스
20230901,100번(하계동~용산구청),,84.0,238.0,버스
20230901,100번(하계동~용산구청),,160.0,169.0,버스
20230901,100번(하계동~용산구청),,57.0,84.0,버스
20230901,100번(하계동~용산구청),,43.0,95.0,버스
20230901,100번(하계동~용산구청),,43.0,4.0,버스
20230901,100번(하계동~용산구청),,238.0,80.0,버스
20230901,100번(하계동~용산구청),,242.0,55.0,버스
20230901,100번(하계동~용산구청),,171.0,33.0,버스
20230901,100번(하계동~용산구청),,649.0,54.0,버스
20230901,100번(하계동~용산구청),,157.0,65.0,버스
20230901,100번(하계동~용산구청),,209.0,142.0,버스
20230901,100번(하계동~용산구청),,122.0,207.0,버스
20230901,100번(하계동~용산구청),,53.0,405.0,버스
20230901,100번(하계동~용산구청),,23.0,143.0,버스
20230901,100번(하계동~용산구청),,34.0,116.0,버스
20230901,100번(하계동~용산구청),,119.0,235.0,버스
20230901,100번(하계동~용산구청),,128.0,126.0,버스
20230901,100번(하계동~용산구청),,352.0,168.0,버스
20230901,100번(하계동~용산구청),,11.0,47.0,버스
20230901,100번(하계동~용산구청),,58.0,3.0,버스
20230901,100번(하계동~용산구청),,11.0,0.0,버스
20230901,100번(하계동~용산구청),,140.0,27.0,버스
20230901,100번(하계동~용산구청),,91.0,43.0,버스
20230901,100번(하계동~용산구청),,322.0,37.0,버스
20230901,100번(하계동~용산구청),,140.0,32.0,버스
20230901,100번(하계동~용산구청),,332.0,78.0,버스
20230901,100번(하계동~용산구청),,519.0,267.0,버스
20230901,100번(하계동~용산구청),,285.0,347.0,버스
20230901,100번(하계동~용산구청),,310.0,214.0,버스
20230901,100번(하계동~용산구청),,357.0,283.0,버스
20230901,100번(하계동~용산구청),,232.0,66.0,버스
20230901,100번(하계동~용산구청),,68.0,166.0,버스
20230901,100번(하계동~용산구청),,293.0,181.0,버스
20230901,100번(하계동~용산구청),,140.0,275.0,버스
20230901,100번(하계동~용산구청),,143.0,279.0,버스
20230901,100번(하계동~용산구청),,145.0,349.0,버스
20230901,100번(하계동~용산구청),,279.0,159.0,버스
