CustomerID,Age,AnnualIncome,SpendingScore,PurchaseHistory
1,47.0,63.0,19,12
2,31.0,73.0,67,7
3,,,1,17
4,33.0,66.0,71,15
5,22.0,127.0,61,11
6,57.0,49.0,61,11
7,60.0,27.0,72,6
8,69.0,51.0,18,5
9,35.0,57.0,39,4
10,24.0,85.0,70,9
11,62.0,80.0,90,17
12,64.0,143.0,27,17
13,69.0,31.0,88,7
14,43.0,117.0,29,3
15,,,10,2
16,40.0,54.0,96,15
17,,,85,11
18,44.0,40.0,56,5
19,55.0,28.0,72,4
20,120.0,141.0,58,15
21,44.0,137.0,87,13
22,34.0,85.0,51,11
23,53.0,50.0,11,16
24,63.0,64.0,76,11
25,27.0,105.0,55,4
26,56.0,111.0,92,17
27,27.0,63.0,18,7
28,40.0,72.0,15,8
29,42.0,127.0,91,19
30,40.0,124.0,1,12
31,62.0,24.0,36,9
32,20.0,104.0,86,2
33,67.0,104.0,5,9
34,56.0,102.0,47,19
35,68.0,33.0,13,13
36,26.0,73.0,79,7
37,20.0,46.0,72,19
38,,,63,13
39,50.0,34.0,43,7
40,39.0,115.0,67,14
41,57.0,43.0,45,9
42,40.0,104.0,80,1
43,58.0,135.0,74,16
44,19.0,96.0,53,11
45,40.0,103.0,67,1
46,29.0,67.0,86,4
47,39.0,119.0,47,1
48,38.0,20.0,26,10
49,40.0,20.0,70,8
50,20.0,117.0,96,3
51,48.0,128.0,96,3
52,52.0,30.0,26,4
53,57.0,39.0,93,18
54,38.0,149.0,65,7
55,19.0,129.0,83,18
56,56.0,51.0,11,3
57,34.0,63.0,11,18
58,65.0,87.0,67,14
59,43.0,99.0,50,2
60,54.0,137.0,24,15
61,,,26,7
62,59.0,32.0,65,19
63,64.0,95.0,52,15
64,42.0,148.0,28,7
65,23.0,136.0,83,7
66,65.0,146.0,100,15
67,29.0,111.0,8,18
68,51.0,83.0,36,1
69,50.0,88.0,53,9
70,52.0,102.0,92,18
71,,,24,3
72,69.0,47.0,74,15
73,,,34,9
74,41.0,36.0,83,19
75,23.0,112.0,56,10
76,29.0,37.0,94,13
77,63.0,24.0,79,14
78,36.0,126.0,92,1
79,35.0,34.0,37,6
80,39.0,110.0,35,2
81,60.0,60.0,48,13
82,29.0,67.0,83,4
83,51.0,64.0,57,3
84,61.0,130.0,46,16
85,25.0,118.0,35,7
86,40.0,70.0,95,7
87,,,44,12
88,65.0,20.0,60,17
89,65.0,142.0,62,4
90,64.0,142.0,2,1
91,43.0,48.0,23,1
92,55.0,88.0,34,13
93,52.0,46.0,46,18
94,27.0,59.0,91,18
95,50.0,31.0,3,7
96,69.0,135.0,48,7
97,35.0,113.0,9,19
98,20.0,123.0,91,8
99,31.0,111.0,74,16
100,,,32,17
101,19.0,65.0,3,8
102,30.0,114.0,19,10
103,43.0,52.0,1,2
104,53.0,84.0,89,9
105,29.0,66.0,73,15
106,69.0,64.0,35,6
107,46.0,140.0,88,3
108,36.0,134.0,5,4
109,33.0,52.0,56,10
110,59.0,55.0,68,7
111,60.0,21.0,91,19
112,69.0,67.0,36,13
113,33.0,121.0,94,17
114,27.0,26.0,28,15
115,53.0,56.0,12,9
116,58.0,30.0,37,4
117,47.0,40.0,30,13
118,68.0,33.0,88,5
119,,,77,18
120,44.0,111.0,70,8
121,62.0,65.0,38,6
122,23.0,135.0,43,13
123,40.0,101.0,18,14
124,49.0,90.0,12,12
125,60.0,143.0,2,2
126,22.0,109.0,69,17
127,30.0,119.0,23,19
128,41.0,114.0,63,2
129,29.0,29.0,8,17
130,59.0,23.0,42,7
131,35.0,29.0,61,7
132,,,21,6
133,22.0,69.0,99,7
134,67.0,31.0,65,6
135,22.0,78.0,48,18
136,,,82,1
137,63.0,64.0,18,16
138,24.0,51.0,28,12
139,,,91,16
140,65.0,37.0,3,3
141,25.0,40.0,81,15
142,57.0,129.0,79,5
143,39.0,114.0,43,18
144,,,90,19
