CustomerID,Gender,Age,AnnualIncome
1,1,60,119
2,0,18,41
3,1,27,124
4,1,23,24
5,1,50,108
6,0,25,122
7,0,66,68
8,0,61,107
9,1,62,50
10,1,32,114
11,0,63,104
12,0,67,136
13,0,26,119
14,0,34,31
15,0,65,89
16,0,61,37
17,0,61,88
18,1,22,42
19,0,36,116
20,1,50,143
21,0,55,92
22,1,29,132
23,0,54,137
24,0,33,90
25,0,34,104
26,0,43,112
27,1,50,126
28,1,50,126
29,1,20,122
30,0,54,74
31,1,58,72
32,1,24,90
33,0,63,129
34,1,37,147
35,1,44,102
36,0,23,23
37,0,25,123
38,1,67,28
39,0,29,65
40,1,43,55
41,1,43,129
42,0,25,144
43,0,61,143
44,1,69,144
45,0,41,35
46,1,23,142
47,0,61,29
48,1,52,115
49,0,25,38
50,0,65,89
51,0,47,122
52,0,42,122
53,0,19,37
54,1,19,102
55,1,46,77
56,1,43,27
57,1,59,67
58,0,53,102
59,1,52,72
60,1,51,126
61,0,30,107
62,1,68,108
63,0,23,108
64,1,58,120
65,0,47,22
66,0,61,61
67,0,61,37
68,1,52,31
69,1,23,62
70,0,42,96
71,0,23,61
72,0,52,34
73,1,38,133
74,1,53,37
75,0,20,146
76,1,21,149
77,0,22,144
78,0,69,61
79,0,69,136
80,1,67,136
81,0,65,130
82,1,37,75
83,1,42,128
84,1,21,37
85,0,57,65
86,1,21,96
87,1,66,82
88,0,61,115
89,0,60,72
90,1,32,32
91,1,37,33
92,1,52,36
93,1,26,129
94,1,67,146
95,0,20,28
96,1,23,73
97,0,56,114
98,0,52,61
99,0,69,75
100,1,62,45
101,1,33,29
102,0,51,97
103,1,43,65
104,0,30,73
105,0,66,50
106,0,36,87
107,0,50,69
108,1,22,63
109,0,58,132
110,0,36,116
111,0,36,142
112,1,35,114
113,0,38,31
114,1,63,29
115,0,55,88
116,1,43,52
117,0,48,95
118,0,34,65
119,1,29,66
120,0,23,27
121,1,53,68
122,0,50,82
123,0,67,90
124,1,45,100
125,1,53,28
126,1,46,32
127,1,55,39
128,1,69,105
129,0,64,72
130,1,19,137
131,1,50,96
132,1,30,37
133,1,30,140
134,0,44,124
135,0,43,74
136,0,34,108
137,0,69,94
138,0,67,137
