CustomerID,PurchaseAmount,PurchaseDate
1,44,2023-01-01
2,231,2023-01-02
3,68,2023-01-03
4,177,2023-01-04
5,288,2023-01-05
6,68,2023-01-06
7,316,2023-01-07
8,39,2023-01-08
9,7,2023-01-09
10,188,2023-01-10
11,45,2023-01-11
12,24,2023-01-12
13,42,2023-01-13
14,57,2023-01-14
15,74,2023-01-15
16,40,2023-01-16
17,166,2023-01-17
18,129,2023-01-18
19,93,2023-01-19
20,184,2023-01-20
21,98,2023-01-21
22,19,2023-01-22
23,86,2023-01-23
24,336,2023-01-24
25,132,2023-01-25
26,159,2023-01-26
27,291,2023-01-27
28,129,2023-01-28
29,42,2023-01-29
30,60,2023-01-30
31,225,2023-01-31
32,194,2023-02-01
33,20,2023-02-02
34,228,2023-02-03
35,4,2023-02-04
36,81,2023-02-05
37,93,2023-02-06
38,19,2023-02-07
39,152,2023-02-08
40,20,2023-02-09
41,78,2023-02-10
42,38,2023-02-11
43,36,2023-02-12
44,39,2023-02-13
45,15,2023-02-14
46,8,2023-02-15
47,75,2023-02-16
48,135,2023-02-17
49,228,2023-02-18
50,180,2023-02-19
51,93,2023-02-20
52,20,2023-02-21
53,144,2023-02-22
54,8,2023-02-23
55,87,2023-02-24
56,8,2023-02-25
57,156,2023-02-26
58,102,2023-02-27
59,150,2023-02-28
60,260,2023-03-01
61,55,2023-03-02
62,98,2023-03-03
63,207,2023-03-04
64,98,2023-03-05
65,78,2023-03-06
66,124,2023-03-07
67,92,2023-03-08
68,84,2023-03-09
69,340,2023-03-10
70,123,2023-03-11
71,40,2023-03-12
72,42,2023-03-13
73,28,2023-03-14
74,98,2023-03-15
75,18,2023-03-16
76,54,2023-03-17
77,36,2023-03-18
78,8,2023-03-19
79,78,2023-03-20
80,46,2023-03-21
81,188,2023-03-22
82,42,2023-03-23
83,256,2023-03-24
84,22,2023-03-25
85,42,2023-03-26
86,183,2023-03-27
87,291,2023-03-28
88,142,2023-03-29
89,258,2023-03-30
90,20,2023-03-31
91,70,2023-04-01
92,2,2023-04-02
93,105,2023-04-03
94,144,2023-04-04
95,24,2023-04-05
96,264,2023-04-06
97,69,2023-04-07
98,168,2023-04-08
99,166,2023-04-09
100,54,2023-04-10
101,44,2023-04-11
102,123,2023-04-12
103,194,2023-04-13
104,248,2023-04-14
105,4,2023-04-15
106,87,2023-04-16
107,82,2023-04-17
108,84,2023-04-18
109,201,2023-04-19
110,65,2023-04-20
111,64,2023-04-21
112,48,2023-04-22
113,106,2023-04-23
114,31,2023-04-24
115,308,2023-04-25
116,33,2023-04-26
117,285,2023-04-27
118,95,2023-04-28
119,141,2023-04-29
120,267,2023-04-30
121,128,2023-05-01
122,308,2023-05-02
123,284,2023-05-03
124,90,2023-05-04
125,39,2023-05-05
126,111,2023-05-06
127,11,2023-05-07
128,237,2023-05-08
129,3,2023-05-09
130,102,2023-05-10
131,10,2023-05-11
132,196,2023-05-12
133,84,2023-05-13
134,98,2023-05-14
135,156,2023-05-15
136,80,2023-05-16
137,33,2023-05-17
138,3,2023-05-18
139,36,2023-05-19
140,308,2023-05-20
141,116,2023-05-21
142,15,2023-05-22
143,18,2023-05-23
144,77,2023-05-24
145,64,2023-05-25
146,284,2023-05-26
147,46,2023-05-27
148,30,2023-05-28
149,62,2023-05-29
150,156,2023-05-30
151,38,2023-05-31
152,212,2023-06-01
153,66,2023-06-02
154,172,2023-06-03
155,39,2023-06-04
156,184,2023-06-05
157,87,2023-06-06
158,224,2023-06-07
159,364,2023-06-08
160,174,2023-06-09
161,63,2023-06-10
162,249,2023-06-11
163,94,2023-06-12
164,58,2023-06-13
165,8,2023-06-14
166,89,2023-06-15
167,196,2023-06-16
168,184,2023-06-17
169,165,2023-06-18
170,336,2023-06-19
171,28,2023-06-20
172,150,2023-06-21
173,102,2023-06-22
174,72,2023-06-23
175,142,2023-06-24
176,176,2023-06-25
177,120,2023-06-26
178,176,2023-06-27
179,364,2023-06-28
180,99,2023-06-29
181,228,2023-06-30
182,132,2023-07-01
183,87,2023-07-02
184,141,2023-07-03
185,80,2023-07-04
186,183,2023-07-05
187,348,2023-07-06
188,196,2023-07-07
189,76,2023-07-08
190,74,2023-07-09
191,135,2023-07-10
192,148,2023-07-11
193,44,2023-07-12
194,52,2023-07-13
195,273,2023-07-14
196,3,2023-07-15
197,24,2023-07-16
198,60,2023-07-17
199,83,2023-07-18
200,243,2023-07-19
201,248,2023-07-20
202,168,2023-07-21
203,61,2023-07-22
204,356,2023-07-23
205,8,2023-07-24
206,99,2023-07-25
207,9,2023-07-26
208,85,2023-07-27
209,177,2023-07-28
210,117,2023-07-29
211,30,2023-07-30
212,249,2023-07-31
213,62,2023-08-01
214,94,2023-08-02
215,58,2023-08-03
216,57,2023-08-04
217,112,2023-08-05
218,105,2023-08-06
219,194,2023-08-07
220,10,2023-08-08
221,392,2023-08-09
222,114,2023-08-10
223,24,2023-08-11
224,68,2023-08-12
225,213,2023-08-13
